ALABAMA YOUTH SERVICES,85804
ALBERTVILLE CITY,33218
MARSHALL COUNTY,69572
HOOVER CITY,18792
MADISON CITY,55821
AL INST DEAF AND BLIND,29543
LEEDS CITY,32881
BOAZ CITY,21293
TRUSSVILLE CITY,79908
SAFETYNET ACADEMY,69983
BRYCE ADOLESCENT SCHOOL,98465
ALABAMA SCHOOL OF FINE ARTS,64946
UCP OF GREATER BIRMINGHAM,76764
BOYD SCHOOL,67428
BREWERS PORCH CHILDRENS CENTER,58253
THREE SPRINGS COURTLAND SCH,85836
THREE SPRINGS MADISON SCH,86593
THREE SPRINGS NEW BEGINNINGS,30292
SEQUEL TSI TUSKEEGEE LLC,84568
THREE SPRINGS NEW TUSKEGEE,79455
THREE SPRINGS NEW DIRECTION,75999
ALEXANDER CITY,44069
THE BRIDGE,47499
GLENWOOD MENTAL HEALTH SERVICE,71566
LEARNING TREE INC,34257
LEE CO YOUTH DEVELOPMENT CTR,79196
BAY POINT CENTER,74648
PATHWAY INC,26125
PRESBYTERIAN HOME FOR CHILDREN,16510
BRANTWOOD CHILDREN'S HOME,18563
DEVELOPING ALABAMA YOUTH PROG,60591
LAUREL OAKS BEHAVIORAL HEALTH,71211
MOUNTAINVIEW HOSPITAL,48612
THE RUSHTON SCHOOL,52212
WILMER HALL,36909
THREE SPRINGS PAINT ROCK VALLEY,11224
ANDALUSIA CITY,79372
ANNISTON CITY,81642
ARAB CITY,62332
ATHENS CITY,24829
COMPASS ACADEMY,33975
ETOWAH ACADEMY,53223
POINTE ACADEMY,16563
ALABAMA CORRECTIONAL FACILITIES,70413
HIGDON HILL SCHOOL,54359
THE BRIDGE II,53522
ATTALLA CITY,85695
COMPASS SCHOOL,10815
ALABAMA CLINICAL SCHOOL,11774
EXCEL INSTITUTE,81000
SARALAND CITY,78337
FATHER PURCELL CENTER,81130
FATHER WALTERS CTR,79489
CHICKASAW CITY,51183
SATSUMA CITY,17138
ALABASTER CITY,39072
EVERGREEN SCHOOL,30972
MCINNIS SCHOOL,51939
ST. MARYS HOME,90555
AUBURN CITY,20901
AUTAUGA COUNTY,42918
BALDWIN COUNTY,67951
BARBOUR COUNTY,14297
BESSEMER CITY,55407
BIBB COUNTY,83226
BIRMINGHAM CITY,78498
BLOUNT COUNTY,54134
BREWTON CITY,88290
BULLOCK COUNTY,78639
BUTLER COUNTY,71790
CALHOUN COUNTY,25936
CHAMBERS COUNTY,32966
CHEROKEE COUNTY,72673
CHILTON COUNTY,62082
CHOCTAW COUNTY,22775
CLARKE COUNTY,56832
CLAY COUNTY,25230
CLEBURNE COUNTY,44983
COFFEE COUNTY,28874
COLBERT COUNTY,36954
CONECUH COUNTY,50371
COOSA COUNTY,18355
COVINGTON COUNTY,27915
CRENSHAW COUNTY,91336
CULLMAN CITY,92744
CULLMAN COUNTY,45731
DALE COUNTY,43622
DALEVILLE CITY,60744
DALLAS COUNTY,79892
DEKALB COUNTY,39026
DECATUR CITY,83749
DEMOPOLIS CITY,74514
DOTHAN CITY,47660
ELBA CITY,14204
ELMORE COUNTY,82090
ENTERPRISE CITY,54179
ESCAMBIA COUNTY,46642
ETOWAH COUNTY,15259
EUFAULA CITY,62677
FAIRFIELD CITY,51830
FAYETTE COUNTY,10756
FLORENCE CITY,48612
FORT PAYNE CITY,59804
FRANKLIN COUNTY,61822
GADSDEN CITY,49464
GENEVA CITY,33777
GENEVA COUNTY,82388
GREENE COUNTY,56755
GUNTERSVILLE CITY,31636
HALE COUNTY,42654
HALEYVILLE CITY,21338
HARTSELLE CITY,71969
HENRY COUNTY,31922
HOMEWOOD CITY,95954
HOUSTON COUNTY,18841
HUNTSVILLE CITY,29687
JACKSON COUNTY,76872
JACKSONVILLE CITY,33020
JASPER CITY,58070
JEFFERSON COUNTY,66958
LAMAR COUNTY,24058
LANETT CITY,93500
LAUDERDALE COUNTY,66599
LAWRENCE COUNTY,21727
LEE COUNTY,73422
LIMESTONE COUNTY,74000
LINDEN CITY,96886
LOWNDES COUNTY,73942
MACON COUNTY,58771
MADISON COUNTY,93491
MARENGO COUNTY,84608
MARION COUNTY,16429
MIDFIELD CITY,99071
MOBILE COUNTY,79018
MONROE COUNTY,86412
MONTGOMERY COUNTY,32951
MORGAN COUNTY,48876
MOUNTAIN BROOK CITY,63776
MUSCLE SHOALS CITY,97608
ONEONTA CITY,60997
OPELIKA CITY,55068
OPP CITY,70136
OXFORD CITY,77479
OZARK CITY,98495
PELL CITY,20884
PERRY COUNTY,98396
PHENIX CITY,50154
PICKENS COUNTY,34403
PIEDMONT CITY,53500
PIKE COUNTY,60583
RANDOLPH COUNTY,19584
ROANOKE CITY,28270
RUSSELL COUNTY,11090
RUSSELLVILLE CITY,15025
SCOTTSBORO CITY,76581
SELMA CITY,68760
SHEFFIELD CITY,18697
SHELBY COUNTY,22232
ST CLAIR COUNTY,38856
SUMTER COUNTY,62189
SYLACAUGA CITY,35101
TALLADEGA CITY,70362
TALLADEGA COUNTY,81330
TALLAPOOSA COUNTY,75166
TALLASSEE CITY,63889
TARRANT CITY,80280
THOMASVILLE CITY,69006
TROY CITY,46275
TUSCALOOSA CITY,73434
TUSCALOOSA COUNTY,45317
TUSCUMBIA CITY,74178
VESTAVIA HILLS CITY,93856
WALKER COUNTY,96692
WASHINGTON COUNTY,24645
WILCOX COUNTY,58582
WINFIELD CITY,64278
WINSTON COUNTY,80856
LOWER KUSKOKWIM SCHOOL DISTRICT,26690
LOWER YUKON SCHOOL DISTRICT,64913
YUPIIT SCHOOL DISTRICT,11486
KASHUNAMIUT SCHOOL DISTRICT,39329
MOUNT EDGECUMBE HIGH SCHOOL AGENCY,93257
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,22372
ALEUTIAN REGION SCHOOL DISTRICT,73595
BERING STRAIT SCHOOL DISTRICT,74620
BRISTOL BAY BOROUGH SCHOOL DISTRICT,77550
ALASKA GATEWAY SCHOOL DISTRICT,14237
CORDOVA CITY SCHOOL DISTRICT,95916
COPPER RIVER SCHOOL DISTRICT,19618
CRAIG CITY SCHOOL DISTRICT,24255
DELTA-GREELY SCHOOL DISTRICT,48739
DILLINGHAM CITY SCHOOL DISTRICT,11775
GALENA CITY SCHOOL DISTRICT,71119
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,35643
ANCHORAGE SCHOOL DISTRICT,85187
JUNEAU BOROUGH SCHOOL DISTRICT,54330
SITKA SCHOOL DISTRICT,11221
HAINES BOROUGH SCHOOL DISTRICT,86833
HOONAH CITY SCHOOL DISTRICT,94094
HYDABURG CITY SCHOOL DISTRICT,64571
KAKE CITY SCHOOL DISTRICT,27122
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,23950
KLAWOCK CITY SCHOOL DISTRICT,76620
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,38015
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,52743
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,46322
IDITAROD AREA SCHOOL DISTRICT,71607
ANNETTE ISLAND SCHOOL DISTRICT,10532
NENANA CITY SCHOOL DISTRICT,71022
NOME PUBLIC SCHOOLS,36575
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,29452
NORTH SLOPE BOROUGH SCHOOL DISTRICT,62148
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,64624
PELICAN CITY SCHOOL DISTRICT,22728
PETERSBURG BOROUGH SCHOOL DISTRICT,48031
PRIBILOF SCHOOL DISTRICT,32549
SAINT MARY'S SCHOOL DISTRICT,37619
SKAGWAY SCHOOL DISTRICT,67315
